Longueur d'onde (nm),Tension blanc (Volt),Liste_pas_vis
737.79160186,-0.0017996964736208907,0
744.012441674,-0.0019695900317585145,0.2
750.233281488,-0.002163754098839555,0.4
756.454121302,-0.0017916063041705879,0.6000000000000001
762.674961116,-0.002042401556988938,0.8
768.89580093,-0.0017511554569290746,1.0
775.116640744,-0.001840147320998835,1.2
781.337480558,-0.0021313934212152962,1.4
787.558320372,-0.0023417378259076942,1.5999999999999999
793.779160186,-0.0018158768127057522,1.7999999999999998
800.0,-0.0020262212180578616,1.9999999999999998
