Longueur d'onde (nm),Tension échantillon (Volt),Liste_pas_vis
737.79160186,-0.008765332328050494,0
744.012441674,-0.008741061820193515,0.2
750.233281488,-0.008498356741139083,0.4
756.454121302,-0.00822329098363552,0.6000000000000001
762.674961116,-0.008603528941298942,0.8
768.89580093,-0.008595438773142963,1.0
775.116640744,-0.0086439797888565,1.2
781.337480558,-0.008676340464896359,1.4
787.558320372,-0.008919045544459693,1.5999999999999999
793.779160186,-0.008215200814317338,1.7999999999999998
800.0,-0.007632708620220402,1.9999999999999998
